rate,single_start,single_end,married_start,married_end,head_start,head_end,married_s_start,married_s_end
10,0,9275,0,18550,0,13250,0,9275
15,9276,37650,18551,75300,13251,50400,9276,37650
25,37651,91150,75301,151900,50401,130150,37651,75950
28,91151,190150,151901,231450,130151,210800,75951,115725
33,190151,413350,231451,413350,210801,413350,115726,206675
35,413351,415050,413351,466950,413351,441000,206676,233475
39.6,415051,,466951,,441001,,233476,,
