rate,single_start,single_end,married_start,married_end,head_start,head_end,married_s_start,married_s_end
1,0,8015,0,16030,0,16040,0,8015
2,8015,19001,16030,38002,16040,38003,8015,19001
4,19001,29989,38002,59978,38003,48990,19001,29989
6,29989,41629,59978,83258,48990,60630,29989,41629
8,41629,52612,83258,105224,60630,71615,41629,52612
9.3,52612,268750,105224,537500,71615,365499,52612,268750
10.3,268750,322499,537500,644998,365499,438599,268750,322499
11.3,322499,537489,644998,1074996,438599,730997,322499,537489
12.3,537489,,1074996,,730997,,537489,,
