rate,single_start,single_end,married_start,married_end,head_start,head_end,married_s_start,married_s_end
2,0,500,0,1000,0,500,0,500
4,500,3000,1000,6000,500,3000,500,3000
5,3000,,6000,,3000,,3000,,
