rate,single_start,single_end,married_start,married_end,head_start,head_end,married_s_start,married_s_end
4,0,8450,0,17050,0,12750,0,8450
4.5,8450,11650,17050,23450,12750,17550,8450,11650
5.25,11650,13850,23450,27750,17550,20800,11650,13850
5.9,13850,21300,27750,42750,20800,32000,13850,21300
6.45,21300,80150,42750,160500,32000,106950,21300,80150
6.65,80150,214000,160500,321050,106950,267500,80150,214000
6.85,214000,1070350,321050,2140900,267500,1605650,214000,1070350
8.82,1070350,,2140900,,1605650,,1070350,,
