rate,single_start,single_end,married_start,married_end,head_start,head_end,married_s_start,married_s_end
4,0,8500,0,17150,0,12800,0,8500
4.5,8500,11700,17150,23600,12800,17650,8500,11700
5.25,11700,13900,23600,27900,17650,20900,11700,13900
5.9,13900,21400,27900,43000,20900,32200,13900,21400
6.45,21400,80650,43000,161550,32200,107650,21400,80650
6.65,80650,215400,161550,323200,107650,269300,80650,215400
6.85,215400,1077550,323200,2155350,269300,1616450,215400,1077550
8.82,1077550,,2155350,,1616450,,1077550,
